,idf_weights
development,5.5100914204534535
back,5.514467795053252
northern,5.514467795053252
january,5.514467795053252
lost,5.5188634065262905
town,5.532167372152654
major,5.532167372152654
god,5.532167372152654
hello,5.545650722489941
provided,5.545650722489941
damage,5.550185877655332
several,5.5547416941911925
another,5.5547416941911925
never,5.559318361218605
un,5.559318361218605
rt,5.559318361218605
cross,5.559318361218605
without,5.563916070467234
blanket,5.563916070467234
damaged,5.573175395880031
southern,5.577837408985842
west,5.577837408985842
morning,5.587227149335681
along,5.596705893290225
long,5.596705893290225
least,5.6014791720428825
fund,5.6014791720428825
winter,5.6062753443063755
bit,5.6062753443063755
refugee,5.611094630742325
rice,5.611094630742325
zone,5.615937255218112
worker,5.615937255218112
central,5.615937255218112
nothing,5.615937255218112
killed,5.620803444869285
cyclone,5.625693430163477
case,5.630607444965906
20,5.630607444965906
right,5.635545726606488
news,5.635545726606488
tell,5.635545726606488
center,5.640508515948618
force,5.640508515948618
risk,5.640508515948618
use,5.645496057459657
island,5.645496057459657
ly,5.645496057459657
30,5.650508599283201
used,5.650508599283201
chile,5.650508599283201
public,5.655546393313158
resident,5.660609695269705
season,5.665698764777177
programme,5.665698764777177
activity,5.670813865443947
100,5.670813865443947
hygiene,5.670813865443947
centre,5.675955264944365
facility,5.675955264944365
hour,5.681123235102808
card,5.681123235102808
land,5.681123235102808
providing,5.681123235102808
death,5.681123235102808
following,5.686318051979912
medicine,5.696789351847207
program,5.696789351847207
wind,5.702066408948051
small,5.702066408948051
capital,5.707371461177744
coming,5.707371461177744
military,5.707371461177744
needed,5.712704807153107
next,5.712704807153107
china,5.718066750294492
drinking,5.718066750294492
rainfall,5.718066750294492
continue,5.723457598929368
must,5.7288776663987075
rescue,5.7288776663987075
non,5.7288776663987075
severe,5.739806736930898
open,5.739806736930898
died,5.750856573117483
away,5.7564276181669385
500,5.762029873715608
temperature,5.762029873715608
result,5.762029873715608
evening,5.762029873715608
large,5.767663691433865
early,5.773329428969542
little,5.773329428969542
equipment,5.779027450084179
outbreak,5.779027450084179
four,5.779027450084179
member,5.779027450084179
farmer,5.784758124793164
recent,5.790521829509914
possible,5.790521829509914
sanitation,5.790521829509914
survivor,5.790521829509914
fire,5.796318947194241
ground,5.796318947194241
15,5.796318947194241
office,5.802149867505033
set,5.808014986957431
every,5.81391470908462
electricity,5.81391470908462
found,5.819849444604435
material,5.819849444604435
dead,5.819849444604435
however,5.825819611590938
yet,5.825819611590938
wfp,5.825819611590938
plan,5.83182563565115
think,5.83182563565115
50,5.837867950107113
human,5.837867950107113
cause,5.837867950107113
hand,5.843946996183495
money,5.843946996183495
production,5.843946996183495
let,5.850063223200931
night,5.850063223200931
five,5.856217088775309
bring,5.856217088775309
hunger,5.856217088775309
put,5.86240905902323
management,5.86240905902323
expected,5.86240905902323
africa,5.86240905902323
sent,5.868639608773867
item,5.868639608773867
student,5.874909221787462
baby,5.874909221787462
receive,5.8812183909807265
hundred,5.8812183909807265
hungry,5.8812183909807265
sleep,5.887567618659386
ministry,5.893957416758156
temporary,5.893957416758156
safe,5.900388307088447
crisis,5.900388307088447
asking,5.900388307088447
coast,5.900388307088447
kit,5.906860821594064
haitian,5.906860821594064
sleeping,5.906860821594064
phone,5.906860821594064
june,5.906860821594064
tuesday,5.913375502615258
answer,5.913375502615258
plant,5.919932903161417
carrefour,5.919932903161417
site,5.926533587192769
etc,5.926533587192769
line,5.933178129911438
displaced,5.933178129911438
eat,5.933178129911438
poor,5.933178129911438
got,5.939867118062234
ask,5.946601150243578
thing,5.946601150243578
