,idf_weights
head,6.338643238019602
foreign,6.338643238019602
shortage,6.338643238019602
foot,6.338643238019602
tank,6.348693573873104
friday,6.348693573873104
struck,6.348693573873104
donate,6.348693573873104
bad,6.348693573873104
tomorrow,6.348693573873104
st,6.358845945337121
helping,6.358845945337121
true,6.358845945337121
indian,6.358845945337121
transport,6.358845945337121
injured,6.358845945337121
led,6.358845945337121
measure,6.369102445504311
september,6.369102445504311
december,6.369102445504311
point,6.369102445504311
global,6.369102445504311
continued,6.369102445504311
almost,6.369102445504311
everyone,6.369102445504311
truck,6.379465232539857
ton,6.379465232539857
digicel,6.379465232539857
free,6.379465232539857
60,6.379465232539857
homeless,6.379465232539857
light,6.379465232539857
improve,6.379465232539857
making,6.389936532407153
protection,6.389936532407153
civil,6.389936532407153
tropical,6.389936532407153
rehabilitation,6.389936532407153
november,6.389936532407153
causing,6.389936532407153
dont,6.389936532407153
livelihood,6.389936532407153
soil,6.389936532407153
carrying,6.40051864173769
violence,6.40051864173769
recovery,6.40051864173769
300,6.40051864173769
happy,6.40051864173769
irrigation,6.40051864173769
essential,6.40051864173769
market,6.411213930854437
mother,6.411213930854437
26,6.411213930854437
giving,6.411213930854437
african,6.411213930854437
communication,6.422024846958653
name,6.422024846958653
assist,6.422024846958653
virus,6.422024846958653
organisation,6.422024846958653
mile,6.422024846958653
stop,6.422024846958653
debris,6.422024846958653
17,6.422024846958653
medium,6.422024846958653
rue,6.422024846958653
airport,6.422024846958653
estimated,6.432953917490844
young,6.432953917490844
widespread,6.432953917490844
threat,6.432953917490844
move,6.432953917490844
continues,6.432953917490844
kind,6.432953917490844
wheat,6.444003753677428
february,6.444003753677428
flight,6.444003753677428
normal,6.444003753677428
missing,6.455177054275554
heard,6.455177054275554
law,6.455177054275554
late,6.455177054275554
sector,6.455177054275554
saturday,6.455177054275554
sm,6.4664766095294866
forecast,6.4664766095294866
somalia,6.4664766095294866
process,6.4664766095294866
toll,6.4664766095294866
armed,6.4664766095294866
boat,6.4664766095294866
become,6.4664766095294866
car,6.4664766095294866
church,6.47790530535311
energy,6.47790530535311
cash,6.47790530535311
build,6.47790530535311
difficult,6.47790530535311
enough,6.47790530535311
future,6.47790530535311
society,6.47790530535311
university,6.47790530535311
throughout,6.489466127754186
huge,6.489466127754186
latrine,6.489466127754186
arrived,6.489466127754186
gas,6.489466127754186
sri,6.489466127754186
dry,6.489466127754186
seen,6.501162167517377
toilet,6.501162167517377
save,6.501162167517377
repair,6.501162167517377
great,6.501162167517377
added,6.501162167517377
social,6.501162167517377
expert,6.501162167517377
evacuation,6.501162167517377
remain,6.501162167517377
acute,6.51299662516438
heat,6.51299662516438
various,6.51299662516438
housing,6.51299662516438
price,6.51299662516438
taken,6.51299662516438
21,6.51299662516438
fuel,6.51299662516438
grant,6.524972816211095
built,6.524972816211095
county,6.524972816211095
illness,6.53709417674344
half,6.53709417674344
ok,6.53709417674344
torrential,6.53709417674344
flooded,6.53709417674344
request,6.53709417674344
men,6.53709417674344
passport,6.53709417674344
peace,6.53709417674344
co,6.53709417674344
kid,6.549364269335254
22,6.549364269335254
com,6.549364269335254
look,6.549364269335254
bangladesh,6.549364269335254
contaminated,6.549364269335254
16,6.549364269335254
council,6.549364269335254
cost,6.549364269335254
forest,6.549364269335254
kenya,6.549364269335254
hard,6.561786789333812
vegetable,6.561786789333812
meal,6.561786789333812
2010,6.561786789333812
distributing,6.561786789333812
mobile,6.561786789333812
visit,6.561786789333812
contact,6.561786789333812
ten,6.561786789333812
together,6.561786789333812
cholera,6.561786789333812
leaving,6.574365571540672
farm,6.574365571540672
via,6.574365571540672
im,6.587104597318102
leader,6.587104597318102
waste,6.587104597318102
rebel,6.587104597318102
provision,6.587104597318102
likely,6.587104597318102
taking,6.587104597318102
period,6.587104597318102
recently,6.587104597318102
fear,6.587104597318102
ready,6.600008002154009
distribute,6.600008002154009
advance,6.600008002154009
event,6.600008002154009
diarrhoea,6.600008002154009
effect,6.600008002154009
b,6.600008002154009
seven,6.600008002154009
vehicle,6.613080083721362
leave,6.613080083721362
lanka,6.613080083721362
union,6.613080083721362
despite,6.613080083721362
improved,6.613080083721362
appeal,6.613080083721362
bless,6.613080083721362
cooking,6.613080083721362
related,6.613080083721362
forced,6.613080083721362
full,6.626325310471383
federation,6.626325310471383
devastating,6.626325310471383
side,6.626325310471383
took,6.626325310471383
salt,6.626325310471383
flow,6.626325310471383
feel,6.626325310471383
drug,6.639748330803523
republic,6.639748330803523
remote,6.639748330803523
although,6.639748330803523
ago,6.639748330803523
c,6.639748330803523
amount,6.6533539828593025
cereal,6.6533539828593025
flash,6.6533539828593025
soldier,6.6533539828593025
drink,6.6533539828593025
understand,6.6533539828593025
net,6.6533539828593025
largest,6.6533539828593025
private,6.667147304991638
key,6.667147304991638
croix,6.667147304991638
higher,6.667147304991638
earlier,6.667147304991638
p,6.667147304991638
japan,6.667147304991638
e,6.667147304991638
study,6.667147304991638
2005,6.667147304991638
w,6.667147304991638
suffered,6.667147304991638
movement,6.681133546966378
dollar,6.681133546966378
ocean,6.681133546966378
significant,6.681133546966378
sumatra,6.681133546966378
malnutrition,6.681133546966378
potential,6.681133546966378
planning,6.681133546966378
150,6.681133546966378
inside,6.681133546966378
rubble,6.681133546966378
war,6.681133546966378
pump,6.695318181958334
rise,6.695318181958334
brought,6.695318181958334
afghan,6.695318181958334
triggered,6.695318181958334
powerful,6.695318181958334
asia,6.695318181958334
perishable,6.695318181958334
senegal,6.695318181958334
die,6.695318181958334
protect,6.695318181958334
troop,6.695318181958334
fighting,6.695318181958334
practice,6.695318181958334
short,6.695318181958334
coordination,6.695318181958334
rainy,6.695318181958334
kitchen,6.709706919410434
ethiopia,6.709706919410434
nepal,6.709706919410434
structure,6.709706919410434
dam,6.709706919410434
clear,6.709706919410434
aircraft,6.709706919410434
meeting,6.709706919410434
27,6.7243057188315865
provincial,6.7243057188315865
400,6.7243057188315865
often,6.7243057188315865
soap,6.7243057188315865
common,6.7243057188315865
