,message
2396,11
2397,14
2398,7
2399,6
2400,7
2401,10
2402,6
2403,6
2404,16
2405,20
2406,6
2407,6
2408,8
2409,10
2410,4
2411,12
2412,6
2413,26
2414,19
2415,22
2416,15
2417,5
2418,4
2419,7
2420,9
2421,14
2422,5
2423,5
2424,12
2425,17
2426,13
2427,5
2428,9
2429,14
2430,20
2431,13
2432,9
2433,7
2434,7
2435,10
2436,6
2437,4
2438,5
2439,14
2440,15
2441,6
2442,5
2443,16
2444,13
2445,5
2446,5
2447,5
2448,11
2449,30
2450,7
2451,11
2452,7
2453,15
2454,11
2455,9
2456,14
2457,6
2458,17
2459,11
2460,9
2461,6
2462,5
2463,4
2464,12
2465,4
2466,11
2467,15
2468,6
2469,10
2470,5
2471,15
2472,5
2473,6
2474,8
2475,12
2476,20
2477,8
2478,9
2479,15
2480,4
2481,13
2482,6
2483,6
2484,10
2485,3
2486,4
2487,7
2488,9
2489,5
2490,25
2491,10
2492,11
2493,11
2494,19
2495,13
2496,3
2497,10
2498,5
2499,15
2500,4
2501,6
2502,14
2503,16
2504,10
2505,9
2506,4
2507,11
2508,6
2509,6
2510,4
2511,5
2512,7
2513,17
2514,17
2515,12
2516,16
2517,5
2518,7
2519,6
2520,9
2521,11
2522,9
2523,9
2524,17
2525,6
2526,14
2527,10
2528,17
2529,8
2530,5
2531,17
2532,15
2533,6
2534,2
2535,12
2536,8
2537,22
2538,8
2539,12
2540,15
2541,8
2542,10
2543,4
2544,10
2545,2
2546,13
2547,9
2548,8
2549,12
2550,5
2551,11
2552,15
2553,8
2554,7
2555,7
2556,9
2557,17
2558,8
2559,16
2560,4
2561,8
2562,8
2563,11
2564,17
2565,7
2566,7
2567,4
2568,20
2569,13
2570,7
2571,6
2572,5
2573,8
2574,12
2575,9
2576,12
2577,5
2578,20
2579,13
2580,22
2581,7
2582,3
2583,12
2584,16
2585,8
2586,5
2587,6
2588,4
2589,4
2590,4
2591,9
2592,6
2593,8
2594,10
2595,13
2596,10
2597,11
2598,14
2599,11
2600,7
2601,12
2602,8
2603,12
2604,5
2605,8
2606,17
2607,12
2608,5
2609,7
2610,5
2611,3
2612,9
2613,9
2614,10
2615,2
2616,10
2617,10
2618,22
2619,6
2620,7
2621,18
2622,16
2623,8
2624,7
2625,14
2626,9
2627,11
2628,5
2629,5
2630,11
2631,7
2632,5
2633,4
2634,5
2635,8
2636,6
2637,4
2638,16
2639,3
2640,12
2641,12
2642,11
2643,4
2644,13
2645,9
2646,8
2647,2
2648,16
2649,12
2650,3
2651,3
2652,6
2653,10
2654,7
2655,13
2656,7
2657,4
2658,20
2659,10
2660,4
2661,14
2662,5
2663,10
2664,7
2665,7
2666,5
2667,6
2668,3
2669,11
2670,7
2671,19
2672,10
2673,9
2674,4
2675,17
2676,16
2677,4
2678,18
2679,8
2680,15
2681,7
2682,15
2683,11
2684,10
2685,8
2686,13
2687,4
2688,6
2689,15
2690,17
2691,9
2692,5
2693,7
2694,9
2695,16
2696,10
2697,6
2698,12
2699,14
2700,7
2701,13
2702,10
2703,13
2704,10
2705,16
2706,13
2707,6
2708,19
2709,9
2710,11
2711,12
2712,8
2713,11
2714,9
2715,16
2716,9
2717,9
2718,9
2719,8
2720,17
2721,13
2722,17
2723,23
2724,16
2725,11
2726,7
2727,15
2728,9
2729,8
2730,17
2731,8
2732,7
2733,12
2734,5
2735,10
2736,13
2737,3
2738,6
2739,7
2740,9
2741,5
2742,8
2743,8
2744,7
2745,12
2746,7
2747,17
2748,9
2749,8
2750,5
2751,3
2752,11
2753,17
2754,7
2755,3
2756,11
2757,13
2758,16
2759,5
2760,6
2761,4
2762,7
2763,10
2764,6
2765,13
2766,26
2767,5
2768,15
2769,8
2770,8
2771,6
2772,7
2773,4
2774,8
2775,23
2776,10
2777,5
2778,4
2779,18
2780,7
2781,6
2782,5
2783,22
2784,6
2785,11
2786,13
2787,7
2788,6
2789,18
2790,15
2791,8
2792,15
2793,5
2794,11
2795,5
2796,12
2797,7
2798,12
2799,12
