,message
2996,4
2997,17
2998,10
2999,5
3000,7
3001,23
3002,5
3003,5
3004,13
3005,18
3006,8
3007,10
3008,11
3009,10
3010,12
3011,14
3012,7
3013,7
3014,6
3015,3
3016,6
3017,12
3018,8
3019,16
3020,15
3021,7
3022,6
3023,7
3024,18
3025,5
3026,6
3027,13
3028,18
3029,11
3030,7
3031,5
3032,4
3033,5
3034,22
3035,17
3036,8
3037,5
3038,13
3039,24
3040,13
3041,14
3042,7
3043,4
3044,7
3045,19
3046,14
3047,9
3048,4
3049,8
3050,20
3051,10
3052,11
3053,18
3054,16
3055,7
3056,6
3057,4
3058,21
3059,21
3060,8
3061,12
3062,2
3063,13
3064,7
3065,23
3066,9
3067,6
3068,6
3069,9
3070,8
3071,18
3072,14
3073,5
3074,10
3075,15
3076,5
3077,8
3078,14
3079,4
3080,4
3081,18
3082,7
3083,9
3084,16
3085,8
3086,10
3087,18
3088,16
3089,5
3090,16
3091,17
3092,5
3093,9
3094,6
3095,8
3096,2
3097,7
3098,8
3099,9
3100,5
3101,8
3102,6
3103,5
3104,14
3105,8
3106,14
3107,11
3108,10
3109,21
3110,18
3111,12
3112,10
3113,8
3114,7
3115,3
3116,6
3117,17
3118,12
3119,3
3120,11
3121,9
3122,8
3123,21
3124,20
3125,7
3126,12
3127,6
3128,20
3129,23
3130,8
3131,14
3132,7
3133,8
3134,5
3135,13
3136,17
3137,11
3138,14
3139,10
3140,8
3141,6
3142,4
3143,6
3144,9
3145,2
3146,5
3147,23
3148,11
3149,9
3150,18
3151,18
3152,9
3153,5
3154,12
3155,19
3156,8
3157,14
3158,7
3159,14
3160,8
3161,10
3162,15
3163,6
3164,17
3165,6
3166,17
3167,4
3168,9
3169,6
3170,7
3171,9
3172,20
3173,5
3174,12
3175,6
3176,7
3177,14
3178,11
3179,10
3180,5
3181,15
3182,7
3183,7
3184,3
3185,6
3186,8
3187,18
3188,7
3189,17
3190,9
3191,9
3192,10
3193,10
3194,11
3195,10
3196,4
3197,7
3198,17
3199,10
3200,5
3201,6
3202,11
3203,11
3204,5
3205,3
3206,13
3207,8
3208,9
3209,9
3210,8
3211,9
3212,22
3213,11
3214,7
3215,5
3216,12
3217,18
3218,8
3219,8
3220,7
3221,17
3222,9
3223,19
3224,4
3225,5
3226,11
3227,12
3228,7
3229,14
3230,11
3231,6
3232,13
3233,5
3234,8
3235,7
3236,6
3237,13
3238,7
3239,17
3240,7
3241,10
3242,6
3243,10
3244,7
3245,5
3246,7
3247,19
3248,5
3249,7
3250,9
3251,14
3252,9
3253,7
3254,6
3255,7
3256,2
3257,4
3258,8
3259,6
3260,7
3261,5
3262,8
3263,7
3264,7
3265,7
3266,6
3267,5
3268,7
3269,11
3270,14
3271,18
3272,6
3273,14
3274,17
3275,17
3276,23
3277,14
3278,10
3279,19
3280,5
3281,7
3282,6
3283,10
3284,12
3285,13
3286,13
3287,14
3288,14
3289,12
3290,19
3291,5
3292,6
3293,5
3294,9
3295,9
3296,8
3297,5
3298,8
3299,15
3300,7
3301,7
3302,10
3303,9
3304,11
3305,21
3306,8
3307,8
3308,13
3309,5
3310,5
3311,7
3312,28
3313,6
3314,8
3315,9
3316,6
3317,5
3318,4
3319,9
3320,6
3321,8
3322,5
3323,10
3324,6
3325,13
3326,4
3327,8
3328,5
3329,22
3330,6
3331,11
3332,15
3333,17
3334,6
3335,5
3336,4
3337,8
3338,5
3339,13
3340,4
3341,5
3342,5
3343,9
3344,5
3345,13
3346,13
3347,8
3348,20
3349,7
3350,15
3351,8
3352,15
3353,5
3354,5
3355,6
3356,8
3357,5
3358,12
3359,11
3360,19
3361,10
3362,4
3363,17
3364,10
3365,4
3366,9
3367,6
3368,5
3369,10
3370,7
3371,5
3372,4
3373,7
3374,7
3375,7
3376,6
3377,5
3378,15
3379,15
3380,6
3381,4
3382,6
3383,3
3384,6
3385,8
3386,23
3387,4
3388,5
3389,4
3390,7
3391,7
3392,6
3393,19
3394,10
3395,12
3396,11
3397,9
3398,5
3399,3
3400,4
3401,5
3402,8
3403,7
3404,8
3405,6
3406,22
3407,16
3408,19
3409,12
3410,10
3411,15
3412,10
3413,6
3414,15
3415,6
3416,8
3417,5
3418,5
3419,6
3420,20
3421,19
3422,4
3423,21
3424,18
3425,8
3426,7
3427,19
3428,5
3429,19
3430,10
3431,7
3432,4
3433,7
3434,19
3435,5
3436,7
3437,5
3438,11
3439,9
3440,11
3441,19
3442,6
3443,9
3444,14
3445,16
3446,5
3447,8
3448,14
3449,14
3450,14
3451,8
3452,17
3453,3
3454,13
3455,5
3456,6
3457,4
3458,4
3459,11
3460,5
3461,20
3462,16
3463,12
3464,9
3465,27
3466,15
3467,7
3468,12
3469,12
3470,5
3471,8
3472,5
3473,4
3474,11
3475,10
3476,10
3477,25
3478,11
3479,14
3480,8
3481,5
3482,6
3483,7
3484,8
3485,6
3486,6
3487,13
3488,4
3489,6
3490,9
3491,12
3492,14
3493,6
3494,3
3495,8
3496,8
3497,4
3498,17
3499,8
3500,13
3501,14
3502,14
3503,6
3504,8
3505,8
3506,5
3507,10
3508,9
3509,15
3510,11
3511,7
3512,9
3513,9
3514,5
3515,8
3516,4
3517,14
3518,5
3519,6
3520,11
3521,11
3522,9
3523,12
3524,17
3525,18
3526,18
3527,7
3528,20
3529,9
3530,18
3531,24
3532,14
3533,10
3534,17
3535,11
3536,9
3537,8
3538,6
3539,8
3540,19
3541,18
3542,7
3543,6
3544,8
3545,12
3546,4
3547,13
3548,5
3549,7
3550,7
3551,17
3552,11
3553,5
3554,5
3555,4
3556,3
3557,5
3558,15
3559,5
3560,21
3561,8
3562,13
3563,17
3564,15
3565,8
3566,9
3567,18
3568,7
3569,21
3570,19
3571,14
3572,23
3573,31
3574,4
3575,5
3576,20
3577,16
3578,5
3579,7
3580,5
3581,18
3582,4
3583,6
3584,3
3585,4
3586,6
3587,6
3588,6
3589,15
3590,8
3591,5
3592,12
3593,12
3594,22
3595,7
3596,4
3597,4
3598,24
3599,17
3600,4
3601,4
3602,7
3603,9
3604,5
3605,14
3606,7
3607,7
3608,9
3609,5
3610,10
3611,6
3612,23
3613,15
3614,9
3615,10
3616,5
3617,12
3618,8
3619,16
3620,21
3621,20
3622,12
3623,9
3624,13
3625,12
3626,9
3627,11
3628,7
3629,3
3630,12
3631,9
3632,15
3633,7
3634,10
3635,16
3636,13
3637,7
3638,9
3639,31
3640,15
3641,27
3642,9
3643,9
3644,8
3645,8
3646,6
3647,7
3648,6
3649,5
3650,8
3651,21
3652,4
3653,7
3654,14
3655,12
3656,11
3657,15
3658,20
3659,12
3660,11
3661,10
3662,3
3663,5
3664,7
3665,6
3666,13
3667,6
3668,18
3669,17
3670,13
3671,8
3672,8
3673,6
3674,10
3675,14
3676,7
3677,9
3678,6
3679,9
3680,6
3681,15
3682,15
3683,8
3684,36
3685,12
3686,8
3687,20
3688,17
3689,16
3690,17
3691,7
3692,7
3693,4
3694,7
3695,5
3696,8
3697,14
3698,10
3699,4
3700,6
3701,4
3702,14
3703,22
3704,9
3705,8
3706,6
3707,16
3708,17
3709,14
3710,7
3711,14
3712,23
3713,28
3714,20
3715,17
3716,7
3717,6
3718,12
3719,12
3720,6
3721,7
3722,21
3723,13
3724,11
3725,8
3726,6
3727,9
3728,13
3729,10
3730,7
3731,5
3732,11
3733,20
3734,18
3735,7
3736,7
3737,15
3738,23
3739,6
3740,6
3741,10
3742,15
3743,9
3744,3
3745,14
3746,22
3747,9
3748,10
3749,10
3750,5
3751,10
3752,4
3753,10
3754,5
3755,15
3756,6
3757,6
3758,5
3759,7
3760,19
3761,14
3762,4
3763,4
3764,7
3765,29
3766,8
3767,14
3768,17
3769,9
3770,7
3771,4
3772,31
3773,5
3774,5
3775,22
3776,6
3777,19
3778,9
3779,5
3780,8
3781,16
3782,18
3783,19
3784,13
3785,3
3786,9
3787,10
3788,8
3789,5
3790,21
3791,9
3792,6
3793,4
3794,17
3795,16
3796,5
3797,8
3798,7
3799,7
3800,11
3801,16
3802,8
3803,8
3804,12
3805,9
3806,16
3807,23
3808,7
3809,10
3810,13
3811,8
3812,14
3813,19
3814,17
3815,16
3816,5
3817,7
3818,21
3819,13
3820,8
3821,7
3822,10
3823,33
3824,19
3825,9
3826,16
3827,9
3828,18
3829,2
3830,19
3831,10
3832,13
3833,16
3834,9
3835,10
3836,11
3837,4
3838,19
3839,14
3840,20
3841,8
3842,9
3843,8
3844,10
3845,19
3846,18
3847,6
3848,15
3849,3
3850,22
3851,16
3852,17
3853,15
3854,5
3855,9
3856,6
3857,24
3858,10
3859,13
3860,20
3861,4
3862,11
3863,5
3864,10
3865,23
3866,11
3867,8
3868,5
3869,6
3870,5
3871,7
3872,8
3873,6
3874,6
3875,17
3876,7
3877,19
3878,18
3879,18
3880,11
3881,4
3882,34
3883,13
3884,15
3885,6
3886,15
3887,12
3888,4
3889,5
3890,6
3891,16
3892,24
3893,7
3894,7
3895,21
3896,15
3897,12
3898,6
3899,6
3900,21
3901,8
3902,11
3903,10
3904,8
3905,9
3906,12
3907,7
3908,13
3909,9
3910,5
3911,13
3912,16
3913,12
3914,24
3915,22
3916,20
3917,8
3918,5
3919,9
3920,15
3921,14
3922,32
3923,4
3924,6
3925,19
3926,7
3927,5
3928,7
3929,11
3930,10
3931,32
3932,15
3933,8
3934,7
3935,8
3936,9
3937,9
3938,4
3939,3
3940,13
3941,10
3942,10
3943,20
3944,27
3945,25
3946,14
3947,20
3948,11
3949,17
3950,18
3951,15
3952,6
3953,13
3954,8
3955,9
3956,5
3957,12
3958,7
3959,13
3960,5
3961,6
3962,6
3963,7
3964,4
3965,10
3966,19
3967,9
3968,15
3969,10
3970,3
3971,7
3972,7
3973,19
3974,7
3975,9
3976,16
3977,6
3978,10
3979,14
3980,9
3981,14
3982,5
3983,13
3984,8
3985,10
3986,10
3987,6
3988,5
3989,7
3990,7
3991,9
3992,16
3993,8
3994,7
3995,21
3996,9
3997,9
3998,6
3999,17
4000,13
4001,3
4002,13
4003,7
4004,9
4005,8
4006,11
4007,6
4008,7
4009,20
4010,12
4011,10
4012,6
4013,5
4014,6
4015,5
4016,8
4017,7
4018,9
4019,9
4020,6
4021,6
4022,21
4023,16
4024,7
4025,21
4026,8
4027,13
4028,8
4029,5
4030,8
4031,8
4032,5
4033,17
4034,10
4035,10
4036,14
4037,10
4038,19
4039,19
4040,5
4041,10
4042,15
4043,8
4044,6
4045,4
4046,15
4047,5
4048,22
4049,6
4050,8
4051,6
4052,16
4053,6
4054,13
4055,11
4056,5
4057,11
4058,14
4059,9
4060,8
4061,19
4062,10
4063,13
4064,6
4065,9
4066,18
4067,10
4068,14
4069,21
4070,6
4071,8
4072,10
4073,19
4074,10
4075,9
4076,16
4077,11
4078,8
4079,13
4080,7
4081,11
4082,3
4083,13
4084,5
4085,9
4086,7
4087,6
4088,12
4089,5
4090,21
4091,17
4092,7
4093,10
4094,6
4095,5
4096,8
4097,16
4098,5
4099,10
4100,8
4101,9
4102,5
4103,8
4104,5
4105,10
4106,16
4107,7
4108,5
4109,8
4110,7
4111,13
4112,11
4113,7
4114,5
4115,11
4116,12
4117,6
4118,9
4119,17
4120,10
4121,12
4122,8
4123,17
4124,3
4125,12
4126,15
4127,9
4128,8
4129,8
4130,8
4131,17
4132,14
4133,14
4134,3
4135,9
4136,7
4137,10
4138,13
4139,6
4140,16
4141,6
4142,9
4143,14
4144,8
4145,6
4146,11
4147,19
4148,4
4149,11
4150,15
4151,12
4152,8
4153,11
4154,6
4155,25
4156,2
4157,14
4158,9
4159,10
4160,6
4161,17
4162,3
4163,10
4164,3
4165,18
4166,12
4167,10
4168,7
4169,17
4170,9
4171,13
4172,38
4173,10
4174,3
4175,8
4176,8
4177,13
4178,7
4179,5
4180,5
4181,6
4182,7
4183,19
4184,41
4185,13
4186,10
4187,11
4188,6
4189,10
4190,12
4191,22
4192,13
4193,12
4194,8
4195,15
4196,5
4197,8
4198,3
4199,6
4200,13
4201,9
4202,10
4203,19
4204,20
4205,9
4206,6
4207,18
4208,9
4209,4
4210,6
4211,12
4212,7
4213,5
4214,4
4215,6
4216,6
4217,4
4218,11
4219,6
4220,4
4221,9
4222,11
4223,8
4224,13
4225,13
4226,10
4227,26
4228,8
4229,5
4230,14
4231,8
4232,4
4233,10
4234,3
4235,19
4236,8
4237,8
4238,5
4239,9
4240,32
4241,7
4242,16
4243,5
4244,5
4245,10
4246,15
4247,7
4248,21
4249,20
4250,8
4251,5
4252,20
4253,6
4254,11
4255,12
4256,9
4257,6
4258,14
4259,23
4260,11
4261,17
4262,15
4263,7
4264,19
4265,5
4266,10
4267,18
4268,10
4269,20
4270,6
4271,10
4272,11
4273,13
4274,22
4275,8
4276,13
4277,4
4278,13
4279,4
4280,15
4281,10
4282,19
4283,9
4284,5
4285,10
4286,18
4287,5
4288,5
4289,17
4290,9
4291,7
4292,8
4293,22
4294,21
4295,17
4296,20
4297,5
4298,19
4299,9
4300,12
4301,15
4302,4
4303,7
4304,9
4305,11
4306,5
4307,15
4308,7
4309,16
4310,8
4311,8
4312,12
4313,14
4314,4
4315,10
4316,10
4317,4
4318,15
4319,3
4320,11
4321,4
4322,11
4323,7
4324,7
4325,16
4326,13
4327,19
4328,8
4329,18
4330,5
4331,3
4332,8
4333,7
4334,6
4335,6
4336,4
4337,22
4338,7
4339,10
4340,9
4341,15
4342,13
4343,8
4344,14
4345,16
4346,18
4347,22
4348,11
4349,13
4350,6
4351,15
4352,16
4353,11
4354,9
4355,7
4356,11
4357,13
4358,10
4359,4
4360,9
4361,19
4362,17
4363,10
4364,18
4365,9
4366,8
4367,15
4368,11
4369,11
4370,10
4371,4
4372,8
4373,12
4374,12
4375,6
4376,11
4377,4
4378,6
4379,5
4380,3
4381,4
4382,6
4383,4
4384,7
4385,18
4386,6
4387,6
4388,6
4389,51
4390,12
4391,7
4392,23
4393,19
4394,5
4395,19
4396,14
4397,10
4398,4
4399,7
4400,5
4401,3
4402,2
4403,7
4404,6
4405,7
4406,10
4407,7
4408,16
4409,16
4410,4
4411,10
4412,12
4413,8
4414,3
4415,9
4416,13
4417,8
4418,7
4419,12
4420,13
4421,6
4422,3
4423,14
4424,8
4425,9
4426,8
4427,11
4428,9
4429,6
4430,6
4431,6
4432,12
4433,12
4434,9
4435,7
4436,8
4437,7
4438,6
4439,9
4440,8
4441,3
4442,8
4443,6
4444,10
4445,23
4446,13
4447,5
4448,3
4449,8
4450,11
4451,8
4452,5
4453,7
4454,17
4455,5
4456,12
4457,6
4458,4
4459,9
4460,6
4461,7
4462,13
4463,13
4464,13
4465,11
4466,6
4467,7
4468,6
4469,5
4470,7
4471,7
4472,3
4473,18
4474,6
4475,9
4476,7
4477,5
4478,14
4479,9
4480,7
4481,7
4482,16
4483,7
4484,3
4485,17
4486,5
4487,10
4488,4
4489,23
4490,8
4491,12
4492,12
4493,14
4494,4
4495,28
4496,5
4497,8
4498,11
4499,5
4500,5
4501,4
4502,8
4503,5
4504,4
4505,8
4506,9
4507,5
4508,13
4509,3
4510,6
4511,5
4512,11
4513,7
4514,9
4515,11
4516,10
4517,16
4518,16
4519,20
4520,8
4521,8
4522,6
4523,9
4524,14
4525,5
4526,19
4527,15
4528,6
4529,12
4530,10
4531,11
4532,12
4533,8
4534,8
4535,15
4536,20
4537,2
4538,6
4539,12
4540,3
4541,7
4542,13
4543,4
4544,2
4545,5
4546,5
4547,7
4548,7
4549,17
4550,8
4551,3
4552,8
4553,12
4554,16
4555,23
4556,10
4557,7
4558,9
4559,10
4560,10
4561,19
4562,8
4563,7
4564,13
4565,21
4566,19
4567,8
4568,17
4569,9
4570,22
4571,4
4572,13
4573,16
4574,8
4575,9
4576,7
4577,19
4578,4
4579,22
4580,14
4581,10
4582,7
4583,19
4584,15
4585,24
4586,6
4587,7
4588,7
4589,6
4590,14
4591,20
4592,4
4593,8
4594,7
4595,11
4596,5
4597,6
4598,16
4599,11
4600,9
4601,7
4602,9
4603,5
4604,12
4605,5
4606,8
4607,6
4608,5
4609,3
4610,4
4611,5
4612,15
4613,5
4614,15
4615,12
4616,17
4617,6
4618,9
4619,16
4620,5
4621,8
4622,8
4623,4
4624,6
4625,7
4626,12
4627,15
4628,6
4629,13
4630,6
4631,4
4632,6
4633,17
4634,4
4635,6
4636,8
4637,12
4638,19
4639,5
4640,6
4641,12
4642,4
4643,13
4644,7
4645,8
4646,10
4647,8
4648,3
4649,17
4650,9
4651,11
4652,5
4653,8
4654,5
4655,8
4656,8
4657,22
4658,20
4659,12
4660,4
4661,14
4662,10
4663,7
4664,10
4665,32
4666,19
4667,7
4668,6
4669,31
4670,7
4671,10
4672,27
4673,13
4674,7
4675,8
4676,13
4677,10
4678,18
4679,7
4680,21
4681,19
4682,13
4683,20
4684,33
4685,8
4686,12
4687,4
4688,14
4689,16
4690,14
4691,14
4692,12
4693,23
4694,10
4695,11
4696,8
4697,10
4698,14
4699,12
4700,21
4701,9
4702,17
4703,8
4704,9
4705,12
4706,39
4707,9
4708,8
4709,17
4710,4
4711,15
4712,10
4713,11
4714,4
4715,6
4716,10
4717,12
4718,11
4719,9
4720,28
4721,5
4722,13
4723,14
4724,13
4725,6
4726,12
4727,22
4728,8
4729,3
4730,10
4731,13
4732,5
4733,4
4734,12
4735,2
4736,15
4737,7
4738,5
4739,6
4740,5
4741,8
4742,7
4743,10
4744,17
4745,7
4746,12
4747,10
4748,8
4749,10
4750,9
4751,10
4752,20
4753,5
4754,16
4755,17
4756,13
4757,8
4758,5
4759,15
4760,3
4761,5
4762,7
4763,9
4764,6
4765,6
4766,7
4767,17
4768,17
4769,15
4770,8
4771,6
4772,5
4773,24
4774,12
4775,14
4776,5
4777,22
4778,5
4779,5
4780,20
4781,10
4782,6
4783,9
4784,16
4785,17
4786,16
4787,11
4788,6
4789,13
4790,8
4791,6
4792,21
4793,10
4794,13
4795,15
4796,4
4797,12
4798,12
4799,5
4800,14
4801,15
4802,20
4803,9
4804,11
4805,11
4806,11
4807,10
4808,8
4809,10
4810,17
4811,16
4812,4
4813,29
4814,13
4815,9
4816,5
4817,12
4818,9
4819,14
4820,22
4821,12
4822,17
4823,10
4824,18
4825,10
4826,5
4827,12
4828,19
4829,12
4830,5
4831,24
4832,16
4833,15
4834,11
4835,3
4836,4
4837,5
4838,9
4839,13
4840,9
4841,9
4842,6
4843,5
4844,7
4845,8
4846,13
4847,9
4848,6
4849,15
4850,13
4851,15
4852,13
4853,4
4854,25
4855,26
4856,25
4857,8
4858,4
4859,7
4860,4
4861,9
4862,4
4863,20
4864,12
4865,8
4866,13
4867,9
4868,4
4869,34
4870,10
4871,16
4872,10
4873,3
4874,15
4875,13
4876,6
4877,14
4878,24
4879,9
4880,4
4881,25
4882,9
4883,19
4884,7
4885,6
4886,17
4887,5
4888,9
4889,7
4890,10
4891,5
4892,7
4893,22
4894,15
4895,16
4896,15
4897,11
4898,6
4899,18
4900,16
4901,9
4902,8
4903,8
4904,12
4905,6
4906,10
4907,12
4908,15
4909,22
4910,3
4911,21
4912,9
4913,6
4914,21
4915,11
4916,10
4917,8
4918,10
4919,18
4920,9
4921,19
4922,18
4923,8
4924,7
4925,7
4926,10
4927,4
4928,9
4929,20
4930,9
4931,11
4932,24
4933,2
4934,18
4935,12
4936,5
4937,3
4938,6
4939,7
4940,14
4941,4
4942,7
4943,6
4944,6
4945,7
4946,13
4947,6
4948,8
4949,11
4950,15
4951,18
4952,8
4953,8
4954,4
4955,16
4956,7
4957,17
4958,5
4959,5
4960,11
4961,16
4962,5
4963,7
4964,2
4965,8
4966,7
4967,10
4968,7
4969,10
4970,7
4971,3
4972,7
4973,7
4974,23
4975,21
4976,4
4977,15
4978,8
4979,8
4980,6
4981,3
4982,8
4983,12
4984,5
4985,20
4986,17
4987,9
4988,16
4989,13
4990,5
4991,9
4992,16
4993,12
4994,8
4995,8
4996,9
4997,11
4998,3
4999,4
5000,8
5001,13
5002,13
5003,11
5004,22
5005,8
5006,16
5007,9
5008,16
5009,13
5010,6
5011,6
5012,24
5013,5
5014,12
5015,20
5016,6
5017,5
5018,19
5019,5
5020,37
5021,12
5022,38
5023,6
5024,15
5025,21
5026,3
5027,20
5028,10
5029,4
5030,21
5031,9
5032,11
5033,9
5034,6
5035,6
5036,7
5037,6
5038,4
5039,8
5040,9
5041,6
5042,12
5043,13
5044,5
5045,6
5046,7
5047,8
5048,8
5049,8
5050,3
5051,19
5052,18
5053,16
5054,7
5055,8
5056,6
5057,12
5058,4
5059,4
5060,6
5061,7
5062,22
5063,16
5064,15
5065,5
5066,10
5067,12
5068,8
5069,5
5070,8
5071,8
5072,10
5073,10
5074,6
5075,3
5076,16
5077,12
5078,16
5079,8
5080,19
5081,6
5082,25
5083,26
5084,8
5085,5
5086,5
5087,12
5088,11
5089,9
5090,15
5091,6
5092,18
5093,15
5094,13
5095,11
5096,11
5097,7
5098,8
5099,16
5100,18
5101,12
5102,7
5103,6
5104,14
5105,14
5106,4
5107,13
5108,5
5109,5
5110,8
5111,7
5112,8
5113,10
5114,8
5115,8
5116,10
5117,4
5118,13
5119,14
5120,6
5121,8
5122,10
5123,4
5124,5
5125,22
5126,6
5127,21
5128,11
5129,6
5130,13
5131,27
5132,6
5133,10
5134,2
5135,5
5136,7
5137,12
5138,12
5139,14
5140,18
5141,7
5142,7
5143,8
5144,10
5145,6
5146,6
5147,5
5148,7
5149,8
5150,9
5151,7
5152,6
5153,6
5154,18
5155,11
5156,9
5157,5
5158,11
5159,3
5160,10
5161,3
5162,11
5163,11
5164,7
5165,7
5166,8
5167,11
5168,15
5169,4
5170,8
5171,3
5172,7
5173,18
5174,8
5175,12
5176,5
5177,8
5178,10
5179,7
5180,3
5181,9
5182,6
5183,9
5184,7
5185,19
5186,5
5187,11
5188,4
5189,10
5190,17
5191,8
5192,6
5193,16
5194,6
5195,5
5196,8
5197,6
5198,12
5199,4
5200,7
5201,9
5202,5
5203,9
5204,5
5205,7
5206,13
5207,11
5208,7
5209,8
5210,7
5211,7
5212,7
5213,11
5214,4
5215,13
5216,6
5217,7
5218,16
5219,4
5220,7
5221,9
5222,13
5223,15
5224,9
5225,4
5226,6
5227,6
5228,4
5229,5
5230,4
5231,5
5232,13
5233,10
5234,11
5235,8
5236,11
5237,5
5238,6
5239,10
5240,11
5241,8
5242,5
5243,11
5244,23
5245,8
5246,5
5247,10
5248,16
5249,4
5250,7
5251,5
5252,5
5253,5
5254,28
5255,12
5256,10
5257,5
5258,21
5259,7
5260,7
5261,3
5262,7
5263,11
5264,3
5265,25
5266,5
5267,8
5268,3
5269,15
5270,17
5271,7
5272,3
5273,5
5274,5
5275,8
5276,3
5277,12
5278,16
5279,8
5280,20
5281,20
5282,13
5283,8
5284,9
5285,19
5286,5
5287,7
5288,6
5289,14
5290,11
5291,7
5292,19
5293,8
5294,10
5295,6
5296,5
5297,8
5298,11
5299,9
5300,6
5301,4
5302,3
5303,7
5304,15
5305,17
5306,14
5307,8
5308,5
5309,5
5310,16
5311,10
5312,4
5313,4
5314,3
5315,7
5316,3
5317,4
5318,3
5319,8
5320,8
5321,8
5322,5
5323,5
5324,8
5325,10
5326,7
5327,5
5328,7
5329,10
5330,12
5331,5
5332,6
5333,7
5334,7
5335,11
5336,5
5337,19
5338,3
5339,8
5340,11
5341,7
5342,10
5343,7
5344,14
5345,8
5346,4
5347,20
5348,11
5349,5
5350,9
5351,9
5352,23
5353,3
5354,6
5355,5
5356,7
5357,10
5358,14
5359,21
5360,11
5361,3
5362,9
5363,5
5364,7
5365,10
5366,3
5367,2
5368,27
5369,24
5370,9
5371,9
5372,25
5373,22
5374,6
5375,6
5376,5
5377,6
5378,6
5379,19
5380,8
5381,12
5382,12
5383,5
5384,3
5385,20
5386,18
5387,7
5388,12
5389,12
5390,6
5391,4
5392,16
5393,6
5394,8
5395,15
5396,18
5397,14
5398,20
5399,15
5400,7
5401,6
5402,9
5403,7
5404,11
5405,8
5406,10
5407,11
5408,8
5409,23
5410,9
5411,19
5412,3
5413,10
5414,19
5415,5
5416,9
5417,13
5418,10
5419,7
5420,10
5421,9
5422,11
5423,8
5424,6
5425,4
5426,12
5427,6
5428,5
5429,14
5430,14
5431,11
5432,10
5433,13
5434,21
5435,16
5436,16
5437,10
5438,9
5439,6
5440,11
5441,16
5442,5
5443,6
5444,27
5445,19
5446,7
5447,28
5448,17
5449,14
5450,14
5451,10
5452,14
5453,23
5454,5
5455,17
5456,14
5457,4
5458,12
5459,8
5460,7
5461,9
5462,17
5463,6
5464,15
5465,12
5466,7
5467,10
5468,13
5469,9
5470,19
5471,6
5472,8
5473,11
5474,11
5475,4
5476,11
5477,8
5478,9
5479,4
5480,14
5481,4
5482,11
5483,6
5484,19
5485,9
5486,14
5487,15
5488,20
5489,7
5490,28
5491,18
5492,13
5493,14
5494,12
5495,15
5496,18
5497,11
5498,6
5499,10
5500,7
5501,3
5502,5
5503,15
5504,22
5505,13
5506,4
5507,5
5508,9
5509,7
5510,9
5511,10
5512,5
5513,8
5514,9
5515,9
5516,7
5517,5
5518,4
5519,5
5520,13
5521,7
5522,6
5523,9
5524,10
5525,12
5526,10
5527,10
5528,16
5529,7
5530,5
5531,5
5532,6
5533,11
5534,11
5535,13
5536,20
5537,7
5538,4
5539,9
5540,10
5541,6
5542,7
5543,7
5544,15
5545,12
5546,8
5547,7
5548,5
5549,10
5550,13
5551,8
5552,10
5553,26
5554,11
5555,4
5556,6
5557,7
5558,6
5559,4
5560,15
5561,10
5562,4
5563,6
5564,6
5565,19
5566,6
5567,6
5568,7
5569,6
5570,4
5571,16
5572,6
5573,9
5574,5
5575,7
5576,13
5577,7
5578,12
5579,13
5580,7
5581,5
5582,3
5583,5
5584,8
5585,10
5586,7
5587,13
5588,7
5589,9
5590,11
5591,13
5592,4
5593,6
5594,9
5595,7
5596,17
5597,12
5598,5
5599,7
5600,7
5601,11
5602,4
5603,4
5604,5
5605,5
5606,6
5607,4
5608,10
5609,4
5610,11
5611,9
5612,7
5613,7
5614,5
5615,7
5616,3
5617,6
5618,4
5619,15
5620,9
5621,9
5622,5
5623,5
5624,5
5625,12
5626,8
5627,5
5628,4
5629,6
5630,14
5631,8
5632,9
5633,15
5634,10
5635,5
5636,11
5637,19
5638,7
5639,6
5640,9
5641,16
5642,19
5643,5
5644,12
5645,7
5646,13
5647,5
5648,4
5649,6
5650,9
5651,7
5652,5
5653,9
5654,9
5655,5
5656,6
5657,6
5658,5
5659,4
5660,10
5661,6
5662,16
5663,8
5664,5
5665,9
5666,5
5667,7
5668,7
5669,5
5670,4
5671,11
5672,7
5673,9
5674,7
5675,8
5676,9
5677,5
5678,3
5679,7
5680,7
5681,11
5682,4
5683,5
5684,9
5685,10
5686,10
5687,9
5688,6
5689,3
5690,5
5691,6
5692,6
5693,4
5694,6
5695,16
5696,11
5697,5
5698,5
5699,11
5700,6
5701,12
5702,5
5703,7
5704,7
5705,9
5706,9
5707,7
5708,5
5709,6
5710,6
5711,13
5712,6
5713,7
5714,19
5715,5
5716,22
5717,5
5718,10
5719,6
5720,14
5721,21
5722,4
5723,5
5724,14
5725,9
5726,8
5727,7
5728,6
5729,9
5730,8
5731,7
5732,16
5733,9
5734,6
5735,13
5736,6
5737,7
5738,5
5739,8
5740,11
5741,9
5742,15
5743,8
5744,10
5745,5
5746,8
5747,15
5748,4
5749,7
5750,7
5751,9
5752,6
5753,6
5754,4
5755,10
5756,11
5757,8
5758,7
5759,6
5760,5
5761,8
5762,5
5763,6
5764,5
5765,7
5766,5
5767,5
5768,12
5769,4
5770,5
5771,4
5772,7
5773,7
5774,5
5775,22
5776,6
5777,6
5778,7
5779,6
5780,6
5781,17
5782,6
5783,13
5784,4
5785,4
5786,4
5787,16
5788,5
5789,5
5790,6
5791,5
5792,6
5793,13
5794,4
